by,descendants,id,score,text,time,title,type,url,domain
sixaddyffe2481,47,23605790,61,"I&#x27;ve always considered myself as someone who can do X or can&#x27;t do Y. I&#x27;ve learned new things, I&#x27;ve been creative and daring - at times.<p>But often times, when someone challenges me to do something new, I respond that I don&#x27;t know how and would not be able t do it.<p>How do I turn that around? How do I develop a growth mindset?",1592856626,Ask HN: How to Develop a Growth Mindset?,story,,
h43k3r,2,23612415,7,I have worked at Microsoft and Google in multiple different teams.<p>One thing I realized that sometimes engineers go extreme in designing things&#x2F;code for future cases which are not yet known. Many times these features don&#x27;t even see any future use case and just keep making the system complex.<p>At what point we should stop designing for future use cases ? How far should we go in making things generic ? Are there good resources for this ?,1592910765,Ask HN: How to avoid over-engineering software design for future use cases?,story,,
fizzbucket,1,23612065,3,"I&#x27;m finishing an Oxbridge doctorate in the humanities, just in time for the entire academic job market to disappear. Meanwhile, I&#x27;ve written a novel which is about to be published with a fairly substantial advance into a post-COVID environment where books aren&#x27;t really selling.<p>For many years I&#x27;ve been programming as a hobby, a way to think logically and clearly which isn&#x27;t stuck in the ambiguities of my day jobs. But now it&#x27;s starting to feel like my best chance of a career is in programming. What do people reckon is the best way to move in to this new field quickly, given that I don&#x27;t have any more than a few months job experience in computing to offer and am old enough that I really don&#x27;t want to do yet another degree, especially since I&#x27;ve been spending my free time on non-computing things, where I&#x27;ve succeeded but not in a way which helps me get jobs in a new field?<p>I&#x27;m confident that I can write decent clean code with a basic awareness of algorithms and complexity in a handful of languages, and have code to prove it if asked, but don&#x27;t really know how to get to the stage where hirers might ask.",1592908160,Programming from the Humanities,story,,
mindfreeze,0,23611849,4,"Hi,<p>So in my uni, we are having a FOSS Club(amfoss.in), we are looking for a good team notes management thing like collab, edit and do things, share etc.<p>Currently, we are doing most of the thing using Google Docs,<p>We have found Roam Research[1], seems promising but the thing is, it is super expensive for us to afford as we are fully student-driven club since 14+ years. So another alternative would be Notion[2], it is for a single user it is free for now. But not sure how long will it be and will it be changed in the middle.<p>So, we were curious what are some really good alternatives to both which can be collab and used, if it is OSS Solution then would be great, so we can also volunteer for the development too.<p>Right now I found,<p>1 Trilium: https:&#x2F;&#x2F;github.com&#x2F;zadam&#x2F;trilium<p>2 Outline: http:&#x2F;&#x2F;getoutline.com&#x2F;<p>3 Joplin: https:&#x2F;&#x2F;github.com&#x2F;laurent22&#x2F;joplin<p>4 Notable: https:&#x2F;&#x2F;notable.app<p>I haven&#x27;t used, before trying if some people in HN did use any of these or also Notion&#x2F;Roam Research, would be a great help to her your views regarding this.<p>Even if it is only for individuals and it is a good OSS Solution then that would be also fine,<p>[1]: https:&#x2F;&#x2F;roamresearch.com<p>[2]: https:&#x2F;&#x2F;www.notion.so",1592906331,Ask HN: A FOSS Alternative for Notion or Roam Research,story,,
frankspinnl,4,23611552,2,"Hi there!<p>After 10 years freelancing, it was time for something else. I wanted to spend my
precious time on building something for myself. I found a co-founder and start building my first SaaS: UptimeMate<p>We did a small announcement in early February, and the interest was great. We received over four hundred sign-ups. Don&#x27;t know if that is much, but it felt great!<p>But then the covid-19 happened, and priorities shifted. My co-founder and I had to make sure that our families were safe and that we had an income during the crisis. Bills must be paid and UptimeMate is a bootstrapped project, so we had to make a difficult decision to push the launch forward.<p>Now things on the covid-19 front are settling down in our region, we felt that now is a suitable time to give them access to our beta.<p>This is a huge deal for us, and we are scared and excited at the same time. To give people access to our project where we have put all our free time in for the last 6 months.<p>We decided that we have the beta until September 1. Is a 2&#x2F;3-month period normal for a beta? Or is this to short or to long?
Our beta is free for everybody.
We introduced an early supporter coupon for people who want to support us and want to upgrade for paid plan. We handout a 50% discount. Smart? Or is this way to cheap?
In the coming months we are collecting feedback and building out our marketing page. We hope to launch our version 1 in September.<p>I&#x27;m curious what you think and would love to hear your feedback. If you want to take UptimeMate for a free spin? Try it for free -&gt; https:&#x2F;&#x2F;www.uptimemate.com&#x2F;<p>I&#x27;m here all day for questions, feedback etc.<p>Cheers and thank you!",1592903701,"My first SaaS adventure, don't be gentle",story,,
neogenix,33,23598783,82,"I&#x27;ve been programming all my life and creating drawings&#x2F;diagrams of anything comes very natural to me. While this happens all the time in my head, I still grab a pen and paper sometimes when the mental overhead becomes too much. 
Currently, I&#x27;m struggling with a junior colleague. He comes from a different background (sales). Adjusting existing code, fixing and improving features is not a problem for him, but as soon as something becomes more complex he struggles a lot - even simply drawing it on a paper completely blocks him.
I&#x27;m looking for advice or resources that can help him improve this skill.",1592821614,Ask HN: How to learn to create/draw mental models for programming?,story,,
noodlesUK,61,23597931,53,"Hi HN, I’m looking for a device that I can give to my grandmother that she can use to video call me and other family members from her care home. It needs to either be completely remotely manageable by me, or it needs to not have any real settings that can be changed accidentally (and can be pre-provisioned). Ideally it would be able to connect to the internet over 4g, so it wouldn’t be at the mercy of whether her nursing home has WiFi. Basically what I want is an office phone with a video screen that can connect to a 4g network. Does any such thing exist? If not, does anyone have any suggestions?",1592809792,Ask HN: Best Video Call Solution for Elderly,story,,
dtroit101,10,23604803,8,The way the presenters are so excited and happy comes off as so fake. It&#x27;s increasingly obvious the amount of money these people are getting paid is buying their excitement. There&#x27;s no way people are naturally so excited about these features. Feels almost like a dystopian novel watching this. Am I alone in this feeling? What are your guys thoughts of the Keynote?,1592853520,What are your WWDC thoughts?,story,,
gitgud,3,23608409,7,"When I&#x27;m in a discussion or commenting on an article, I always think to myself, I should write a blog post around this... but I never end up doing it. Does anyone have this problem? Any advice?",1592870471,Ask HN: How do you find motivation to write blog posts?,story,,
karanke,3,23608358,8,"Every time I&#x27;ve tried to post a link with the title &quot;How X&quot;, HN strips out the How and changes the title to &quot;X&quot;.<p>Wondering why this is the case and if there is any planned fix. Thanks!",1592870045,Ask HN: Why does HN strip out “how” from the start of titles?,story,,
