by,id,score,time,title,type,url,text,domain
Brushfire,23608770,1,1592873043,"Draftbit (YC W18) Is Hiring Senior Engineers – Reason, GraphQL, React Native",job,https://draftbit.com/jobs/senior-software-engineer,,draftbit.com
mkong1,23606661,1,1592860023,GiveCampus (YC S15) is hiring senior software engineers to help schools,job,https://jobs.lever.co/givecampus/874d7233-b7a3-488d-892e-13ef717ceab7,,lever.co
skyfallsin,23603207,1,1592847779,Farmstead (YC S16) is hiring a full-stack engineer,job,https://boards.greenhouse.io/farmstead/jobs/4042946003,,greenhouse.io
jstreebin,23600073,1,1592833373,EasyPost Is Hiring to Take over ECommerce,job,https://www.easypost.com/careers,,easypost.com
linaz,23592989,1,1592756899,"Jerry (SC17) Is Hiring Full Stack Engineers in Toronto, SF Bay Area",job,https://apply.workable.com/jerry/j/E627670571/,,workable.com
thedogeye,23580344,1,1592612629,Flexport is hiring engineers in Amsterdam,job,https://Flexport.com,,Flexport.com
AdamTSaunders,23574332,1,1592573414,"PiinPoint (YC W14) Is Hiring a Full-Stack Engineer in Waterloo, Canada",job,https://angel.co/company/piinpoint/jobs/108874-full-stack-developer,,angel.co
the_economist,23569662,1,1592526032,BuildZoom (a better way to remodel) is hiring a growth associate,job,https://jobs.lever.co/buildzoom/0e86e9ea-a3eb-4f19-8697-425db484942f,,lever.co
gdeglin,23567938,1,1592513844,OneSignal (Messaging and Push Notification APIs) is hiring a developer evangelist,job,https://onesignal.com/careers/2023b71d-2f44-4934-a33c-647855816903,,onesignal.com
slederer,23563182,1,1592488882,Bitmovin (YC S15) Is Hiring Enterprise Sales Directors in the US,job,https://bitmovin.com/careers-legacy/4756801002/?gh_jid=4756801002,,bitmovin.com
jairajs89,23560850,1,1592467273,Substack (YC W18) Is Hiring to Build a Better Business Model for Writing,job,https://substack.com/jobs,,substack.com
andrei,23559672,1,1592452591,Fuzzbuzz (YC W19) Is Hiring a Full Stack (Back End Focused) Engineer in SF Bay Area,job,https://angel.co/company/fuzzbuzz/jobs/853711-full-stack-engineer-typescript-go,,angel.co
ryankicks,23557404,1,1592431813,YC's Work at a Startup lets you create one application for hundreds of eng jobs,job,https://www.workatastartup.com/?utm_source=hn_jobs,,workatastartup.com
sangwen,23555195,1,1592419902,Smarking (YC W15) is hiring to scale mobility digital infrastructure,job,https://www.smarking.com/careers,,smarking.com
Heff,23552353,1,1592406604,Mux is hiring engineers to work on distributed systems at scale,job,https://mux.com/jobs/,,mux.com
cahlansharp,23544940,1,1592345632,Prenda (YC S19) is hiring leaders and engineers–build the future of kids' education,job,https://prendaschool.com/jobs,,prendaschool.com
FabioFleitas,23542637,1,1592333167,Tesorio (YC S15) is hiring managers and engineers – join our distributed team,job,https://www.tesorio.com/careers#job-openings,,tesorio.com
iEchoic,23534556,1,1592266245,Guilded (YC S17) is hiring engineers to connect gaming communities (Remote),job,https://www.guilded.gg/jobs,,guilded.gg
reham,23528783,1,1592236597,AptDeco (YC W14) Is Hiring a Sr Product Manager and Sr Growth Marketing Manager,job,https://www.aptdeco.com/careers,,aptdeco.com
iba99,23501074,1,1591980559,Tara AI hiring a Senior Back-end engineer to help create a smart Jira alternative,job,https://tara.ai/about/careers/,,tara.ai
akrane,23483784,1,1591834875,Modal (YC W16) is hiring a lead engineer,job,https://jobs.lever.co/modal/d6c3c81d-1526-4f08-9a4e-4767dde0df17,,lever.co
cmwang,23481920,1,1591822133,Zendar is hiring a director of software engineering,job,https://www.zendar.io/director-software-engineering.html,,zendar.io
gkoberger,23478745,1,1591805513,ReadMe (YC W15) is hiring – help make APIs better for everyone,job,https://readme.com/careers,,readme.com
GuiloLa,23474287,1,1591767282,Lazy Lantern (YC S19) is hiring a staff back end engineer in Paris,job,https://angel.co/company/lazylantern/jobs/670071-staff-backend-engineer,,angel.co
chrisab,23473139,1,1591754816,LogDNA (YC W15) – Hiring Senior Back End Engineer (Node.js/Rust/K8s) (Remote),job,https://boards.greenhouse.io/logdna/jobs/4703358002,,greenhouse.io
christinac,23469748,1,1591729975,Vanta (YC W18) is hiring to get SoC 2 prep in as little as 30 days,job,https://vanta.com/jobs,,vanta.com
jaz46,23467415,1,1591716124,"Pachyderm is Hiring Golang, Kubernetes DevOps, Field Engineers",job,https://jobs.lever.co/pachyderm/,,lever.co
tommy_mcclung,23465696,1,1591702827,Release (YC W20) Is Hiring a Senior Full Stack (Front End/React Focused) Engineer,job,https://releaseapp.io/company,,releaseapp.io
mthomasb,23463273,1,1591672355,Bonsai (YC W16) Hiring an SEO Manager / Specialist (Remote),job,https://bonsai.vervoe.net/job-page/seo-manager-45/1591644765,,bonsai.vervoe.net
kwindla,23462132,1,1591660444,Daily.co is hiring WebRTC video systems engineers,job,https://www.notion.so/WebRTC-Video-Systems-Engineer-288dbcdb38504286b32148d0b55f6e94,,notion.so
