by,descendants,id,score,time,title,type,url,text,domain
weeber,12,23611081,151,1592899243,Learning operating system development using Linux kernel and Raspberry Pi,story,https://s-matyukevich.github.io/raspberry-pi-os/,,s-matyukevich.github.io
freetonik,12,23611911,41,1592906963,Tasks.org – Open-source ToDo app for Android with CalDAV sync,story,https://tasks.org/,,tasks.org
_query,36,23610527,172,1592893984,"Show HN: IHP, a batteries-included web framework built on Haskell and Nix",story,https://ihp.digitallyinduced.com/,,ihp.digitallyinduced.com
ArtWomb,8,23599318,83,1592827895,NPhysics: 2D and 3D Real-Time Physics Engine for Rust,story,https://nphysics.org/,,nphysics.org
perditus,546,23610416,1073,1592892531,I Am Deleting the Blog,story,https://slatestarcodex.com/2020/06/22/nyt-is-threatening-my-safety-by-revealing-my-real-name-so-i-am-deleting-the-blog/,,slatestarcodex.com
mitchbob,53,23599427,150,1592828901,Kafka: The Rescue Will Begin in Its Own Time,story,https://www.newyorker.com/magazine/2020/06/29/the-rescue-will-begin-in-its-own-time,,newyorker.com
pusv,3,23611565,27,1592903808,"Show HN: Learn Regular Expressions with simple, interactive exercises",story,https://regexone.com/,,regexone.com
datashrimp,41,23599177,241,1592826484,Ego Graphs – the Google ‘vs’ trick,story,https://adsp.ai/articles/google-vs-trick/,,adsp.ai
mithunshanbhag,1,23612077,12,1592908283,"Show HN: cloudskew.com – draw AWS, Azure, GCP, K8s diagrams for free",story,https://www.cloudskew.com/,,cloudskew.com
kleiba,35,23611347,74,1592901738,Former Wirecard CEO Markus Braun arrested,story,https://www.dw.com/en/former-wirecard-ceo-markus-braun-arrested/a-53905720,,dw.com
AliCollins,54,23611738,75,1592905422,"CERN approves plans for a $23B, 62-mile long super-collider",story,https://www.engadget.com/cern-super-collider-higgs-boson-particle-092412017.html,,engadget.com
instance,2,23611874,8,1592906569,"Plants absorb nanoplastics, hindering growth",story,https://sci-hub.tw/10.1038/s41565-020-0707-4,,sci-hub.tw
emptybits,15,23598292,56,1592815055,Why you should re-read Paradise Lost (2017),story,https://www.bbc.com/culture/article/20170419-why-paradise-lost-is-one-of-the-worlds-most-important-poems,,bbc.com
anotherevan,9,23611863,9,1592906496,The world is changing [Riot Matrix client to be renamed],story,https://blog.riot.im/the-world-is-changing/,,riot.im
mikro2nd,4,23599347,10,1592828092,The Digital Maginot Line,story,https://www.ribbonfarm.com/2018/11/28/the-digital-maginot-line/,,ribbonfarm.com
1cvmask,101,23609074,108,1592876109,What Comes After Zoom?,story,https://www.ben-evans.com/benedictevans/2020/6/22/zoom-and-the-next-video,,ben-evans.com
sixaddyffe2481,46,23605790,61,1592856626,Ask HN: How to Develop a Growth Mindset?,story,,"I&#x27;ve always considered myself as someone who can do X or can&#x27;t do Y. I&#x27;ve learned new things, I&#x27;ve been creative and daring - at times.<p>But often times, when someone challenges me to do something new, I respond that I don&#x27;t know how and would not be able t do it.<p>How do I turn that around? How do I develop a growth mindset?",
joelS,1,23611157,19,1592899951,Show HN: Antimander – Optimize Congressional Districts with Genetic Algorithms,story,https://antimander.org/,,antimander.org
doitLP,52,23611204,69,1592900309,Siberian town in arctic circle hits 101°F (38°C),story,https://www.forbes.com/sites/trevornace/2020/06/22/the-arctic-circle-hit-101f-saturday-its-hottest-temperature-ever/#38fff16f4eb6,,forbes.com
nsx147,71,23609024,111,1592875501,nCino S-1,story,https://www.sec.gov/Archives/edgar/data/1566895/000119312520174870/d828449ds1.htm,,sec.gov
walterbell,14,23612007,26,1592907690,Millions of Americans Can't Afford Water,story,https://www.consumerreports.org/personal-finance/millions-of-americans-cant-afford-water-as-bills-rise-80-percent-in-a-decade/?EXTKEY=AFLIP,,consumerreports.org
erlend_sh,38,23599264,45,1592827400,The Antagonism of Human and Nature in Factorio,story,https://molily.de/antagonism-human-nature/,,molily.de
cinquemb,37,23609444,70,1592880366,The Value of Life,story,http://www.overcomingbias.com/2020/06/the-value-of-life.html,,overcomingbias.com
todsacerdoti,28,23596070,111,1592780808,Reverse Engineering the Comtech AHA363 PCIe Gzip Accelerator Board,story,https://tomverbeure.github.io/2020/06/14/AHA363-Reverse-Engineering.html,,tomverbeure.github.io
luu,47,23609819,120,1592885218,Opinions I have formed about the “geospatial industry”,story,https://twitter.com/mouthofmorrison/status/1265635034939248640,,twitter.com
todsacerdoti,2,23611459,9,1592902720,Archival Identifiers for Digital Files,story,https://blog.adamretter.org.uk/archival-identifiers-for-digital-files/,,adamretter.org.uk
tbensky,41,23607458,86,1592863795,Frustration project: Automate data entry into PeopleSoft with Selenium,story,https://github.com/tbensky/selenium-peoplesoft,,github.com
GordonS,3,23612212,15,1592909220,Sysinternals ProcDump for Linux,story,https://build5nines.com/sysinternals-procdump-for-linux/,,build5nines.com
ralphleon,220,23602100,584,1592843348,Reflections on Being a Female Founder,story,https://tracy.posthaven.com/reflections-on-being-a-female-founder,,tracy.posthaven.com
imheretolearn,4,23612140,19,1592908757,"Safari now blocks Google Analytics on sites, new Privacy Report feature shows",story,https://appleinsider.com/articles/20/06/22/safari-now-blocks-google-analytics-on-sites-new-privacy-report-feature-shows,,appleinsider.com
